,Comparison,Slope,R_squared,P_value
1014,GNG12,0.8942357780384981,0.4625823634091165,2.767523134197297e-15
136,TNXB,1.7683794029713324,0.4206725248952576,1.284613994517872e-13
324,GNA11,0.7780560975050516,0.363904900247735,1.5452089656164588e-11
137,LAMB2,1.2676446006286473,0.3614795311184259,1.878591946712399e-11
762,CBR3,0.6657621308586393,0.34531862171212496,6.783384685389e-11
600,GNAQ,0.6415066289499208,0.3412555357811908,9.323434733193559e-11
956,C5,1.042155626701268,0.3394496552498599,1.0732711078595638e-10
521,SERPINA1,1.3304909741369282,0.33878153408637346,1.1305422467445171e-10
17,GNG11,1.2813742777803685,0.33858409433602005,1.1480335984831694e-10
269,F2,1.101327333649565,0.3367295341743886,1.3258475193097395e-10
467,LGALS3,0.8465620112463933,0.3364705730141627,1.3527358667500304e-10
654,DOCK1,0.4514375781183562,0.334566578490568,1.5675563160105722e-10
653,DOCK1,0.4514375781183562,0.334566578490568,1.5675563160105722e-10
70,APOA2,1.3488703421358128,0.33354414385168746,1.6963860575349592e-10
252,CAV1,1.7231507015932481,0.32947657054723767,2.3200423892418264e-10
251,CAV1,1.7231507015932481,0.32947657054723767,2.3200423892418264e-10
372,SOD3,1.4871423684230785,0.32849640524318546,2.5011765795088593e-10
603,COL1A1,1.9055077957236068,0.3282886149084162,2.5413230732360665e-10
1006,SORBS2,0.8515027951472303,0.32483101467658504,3.310074136612784e-10
1005,SORBS2,0.8515027951472303,0.32483101467658504,3.310074136612784e-10
1004,SORBS2,0.8515027951472303,0.32483101467658504,3.310074136612784e-10
658,COL6A2,1.24829453687071,0.3176567551145041,5.704739658220529e-10
659,COL6A2,1.24829453687071,0.3176567551145041,5.704739658220529e-10
426,COL3A1,1.7876759290324253,0.3157680062744003,6.577832466050597e-10
9,COL6A3,1.1712853428366958,0.31437018676259215,7.307202600249571e-10
8,COL6A3,1.1712853428366958,0.31437018676259215,7.307202600249571e-10
687,RRAS,0.7502867879832171,0.312852428874051,8.189156058778294e-10
123,COL1A2,1.7006445169248712,0.3099151472145513,1.0202853527498147e-09
